Name,Institute,Level
AWS Cloud Technical Essentials,AWS,Advanced
Introduction to IT & AWS Cloud,AWS,Basic
Blockchain Basics,University at Buffalo,Basic
Tensorflow for AI,DeepLearning.ai,Advanced
Decentralized Finance (DeFi) Primitives,Duke University,Basic
Programming Foundations with JavaScript,Duke University,Basic
Consulting Tools and Tips,Emory University,Basic
Core Infrastructure,Google,Basic
Customer Analytics,University of Pennsylvania,Basic
Data-driven Decision Making,PwC,Basic
Foundations of Project Management,Google,Basic
Fundamentals of Quantitative Modeling,University of Pennsylvania,Basic
Introduction to Cloud Computing,IBM,Basic
Introduction to Trading,New Institute of Finance,Basic
Machine Learning in Finance,New York University,Basic
TensorFlow on Google Cloud,Google,Advanced
Working with Data,Meta,Basic
Crash Course on Python,Google,Basic
Create Serverless Applications,Microsoft,Basic
Data Analysis with R Programming,Google,Basic
Foundations: Data,Meta,Advanced
Google Cloud Fundamentals: Core Infrastructure,Google,Basic
Microsoft Azure Cloud Services,Microsoft,Advanced
Production Machine Learning Systems,Google,Advanced
Supervised Machine Learning: Regression and Classification,Stanford University,Advanced
The Full Stack,Meta,Advanced
